feature,fold_1,fold_2,fold_3,fold_4,fold_5,average
TransactionDT,86,115,123,107,103,106.8
TransactionAmt,88,89,78,91,92,87.6
ProductCD,15,24,27,23,12,20.2
card1,141,99,102,73,73,97.6
card2,105,91,113,120,98,105.4
card3,31,45,29,41,56,40.4
card4,4,6,7,10,12,7.8
card5,43,53,51,42,48,47.4
card6,20,26,29,29,35,27.8
addr1,89,80,86,73,70,79.6
addr2,3,2,6,15,11,7.4
dist1,21,19,18,33,24,23.0
dist2,28,22,15,14,14,18.6
P_emaildomain,35,58,49,61,54,51.4
R_emaildomain,43,44,48,51,45,46.2
C1,72,56,89,100,86,80.6
C2,33,28,27,27,36,30.2
C3,0,0,0,0,0,0.0
C4,16,18,16,16,10,15.2
C5,8,9,8,13,5,8.6
C6,13,20,24,20,22,19.8
C7,20,16,12,12,11,14.2
C8,23,22,20,24,30,23.8
C9,12,14,16,20,13,15.0
C10,18,16,15,15,25,17.8
C11,42,41,34,36,48,40.2
C12,29,26,23,27,32,27.4
C13,93,112,102,109,110,105.2
C14,25,40,54,60,57,47.2
D1,32,25,24,33,30,28.8
D2,48,50,49,45,46,47.6
D3,9,13,10,9,17,11.6
D4,42,37,29,18,35,32.2
D5,4,3,2,5,2,3.2
D6,13,6,6,9,8,8.4
D7,1,0,0,1,1,0.6
D8,48,38,58,47,47,47.6
D9,29,18,9,12,7,15.0
D10,19,29,36,32,24,28.0
D11,3,1,12,7,16,7.8
D12,22,18,13,16,13,16.4
D13,8,22,8,8,13,11.8
D14,29,19,17,13,16,18.8
D15,70,56,50,46,53,55.0
M1,0,0,0,0,1,0.2
M2,1,3,5,0,1,2.0
M3,7,7,5,5,4,5.6
M4,22,21,20,21,20,20.8
M5,13,15,9,17,16,14.0
M6,16,15,11,8,8,11.6
M7,0,1,0,0,0,0.2
M8,0,0,0,0,0,0.0
M9,0,0,2,1,1,0.8
V1,0,0,0,0,0,0.0
V2,1,0,1,1,1,0.8
V3,2,0,1,3,2,1.6
V4,0,0,1,1,0,0.4
V5,5,4,4,1,5,3.8
V6,6,0,0,0,0,1.2
V7,10,3,0,0,0,2.6
V8,0,0,0,0,5,1.0
V9,0,0,2,1,0,0.6
V10,0,0,0,0,0,0.0
V11,0,1,0,0,0,0.2
V12,2,4,11,8,11,7.2
V13,15,13,15,14,22,15.8
V14,0,0,0,0,0,0.0
V15,3,0,0,1,1,1.0
V16,1,4,3,1,2,2.2
V17,1,2,2,1,2,1.6
V18,2,1,0,0,0,0.6
V19,8,6,3,2,2,4.2
V20,11,9,7,6,10,8.6
V21,1,1,0,0,1,0.6
V22,0,1,1,0,0,0.4
V23,6,7,1,2,1,3.4
V24,8,7,9,2,3,5.8
V25,2,4,2,1,1,2.0
V26,3,4,4,2,2,3.0
V27,0,0,0,0,0,0.0
V28,0,0,0,0,0,0.0
V29,0,0,0,0,0,0.0
V30,0,0,0,0,0,0.0
V31,1,0,0,0,0,0.2
V32,0,0,2,0,0,0.4
V33,4,1,2,7,3,3.4
V34,1,0,1,5,2,1.8
V35,2,4,4,2,9,4.2
V36,4,2,4,8,12,6.0
V37,12,9,11,3,3,7.6
V38,9,17,14,30,28,19.6
V39,0,0,7,5,0,2.4
V40,5,2,4,4,5,4.0
V41,0,0,0,0,0,0.0
V42,4,0,2,0,0,1.2
V43,3,2,1,1,1,1.6
V44,16,16,6,13,10,12.2
V45,33,44,34,31,36,35.6
V46,2,3,2,0,1,1.6
V47,6,4,4,3,3,4.0
V48,0,0,0,1,0,0.2
V49,0,0,5,4,3,2.4
V50,1,0,1,0,0,0.4
V51,0,0,0,5,0,1.0
V52,3,5,6,1,5,4.0
V53,21,22,23,14,20,20.0
V54,8,15,13,11,11,11.6
V55,4,14,6,10,7,8.2
V56,16,14,6,7,8,10.2
V57,1,7,2,3,1,2.8
V58,6,2,3,4,6,4.2
V59,0,1,3,0,0,0.8
V60,1,6,1,1,1,2.0
V61,4,13,18,16,7,11.6
V62,13,24,25,24,31,23.4
V63,3,3,1,0,2,1.8
V64,1,10,8,11,8,7.6
V65,0,0,0,0,0,0.0
V66,2,4,3,7,2,3.6
V67,24,19,16,15,19,18.6
V68,0,0,0,0,0,0.0
V69,0,0,2,0,1,0.6
V70,0,1,2,1,1,1.0
V71,0,0,2,0,0,0.4
V72,0,0,1,3,3,1.4
V73,1,0,0,2,0,0.6
V74,2,1,1,7,11,4.4
V75,9,4,5,13,11,8.4
V76,13,15,15,11,7,12.2
V77,5,6,13,16,12,10.4
V78,26,22,12,8,7,15.0
V79,5,6,12,7,9,7.8
V80,0,1,3,4,3,2.2
V81,7,4,1,1,6,3.8
V82,8,10,13,14,16,12.2
V83,8,4,17,22,21,14.4
V84,0,1,1,1,0,0.6
V85,3,1,1,3,5,2.6
V86,9,14,9,6,2,8.0
V87,22,29,24,21,25,24.2
V88,0,0,0,0,0,0.0
V89,0,0,0,0,0,0.0
V90,0,2,1,2,1,1.2
V91,0,0,1,3,1,1.0
V92,1,1,1,2,0,1.0
V93,0,0,0,0,0,0.0
V94,0,0,4,7,11,4.4
V95,1,0,2,0,0,0.6
V96,1,2,2,6,8,3.8
V97,1,0,1,1,0,0.6
V98,1,1,0,0,0,0.4
V99,1,2,9,8,5,5.0
V100,2,1,2,2,1,1.6
V101,1,0,0,0,0,0.2
V102,3,7,9,12,9,8.0
V103,0,0,1,0,2,0.6
V104,0,0,0,0,0,0.0
V105,0,0,0,0,1,0.2
V106,0,0,0,1,0,0.2
V107,0,0,0,0,0,0.0
V108,1,2,3,1,0,1.4
V109,0,0,0,1,0,0.2
V110,0,0,0,0,0,0.0
V111,8,1,1,1,2,2.6
V112,0,2,1,0,1,0.8
V113,0,0,0,0,0,0.0
V114,1,1,0,0,0,0.4
V115,1,0,0,3,3,1.4
V116,0,0,0,0,0,0.0
V117,0,0,0,0,0,0.0
V118,0,1,0,0,0,0.2
V119,2,0,0,0,0,0.4
V120,1,0,0,0,0,0.2
V121,1,0,0,0,0,0.2
V122,0,0,0,0,0,0.0
V123,4,6,3,0,1,2.8
V124,0,2,2,3,8,3.0
V125,0,0,1,1,0,0.4
V126,3,1,1,1,3,1.8
V127,4,2,6,3,1,3.2
V128,6,2,2,1,3,2.8
V129,8,7,4,4,2,5.0
V130,6,4,10,4,10,6.8
V131,13,11,10,13,10,11.4
V132,1,0,1,1,0,0.6
V133,14,11,10,11,6,10.4
V134,5,4,1,0,1,2.2
V135,2,0,1,0,0,0.6
V136,1,3,3,0,6,2.6
V137,1,1,1,1,0,0.8
V138,0,0,0,1,0,0.2
V139,7,7,10,8,10,8.4
V140,9,9,6,9,5,7.6
V141,0,5,3,4,0,2.4
V142,1,3,0,3,0,1.4
V143,6,8,10,0,5,5.8
V144,1,0,0,0,0,0.2
V145,6,0,4,0,1,2.2
V146,1,1,0,1,0,0.6
V147,4,4,4,2,2,3.2
V148,4,1,3,1,1,2.0
V149,19,18,8,8,11,12.8
V150,2,3,4,6,4,3.8
V151,1,3,5,2,0,2.2
V152,5,11,9,10,7,8.4
V153,1,1,1,0,0,0.6
V154,0,1,2,4,3,2.0
V155,7,1,1,1,3,2.6
V156,16,16,18,14,11,15.0
V157,2,0,1,3,0,1.2
V158,3,3,3,3,4,3.2
V159,3,1,0,0,0,0.8
V160,1,0,6,1,2,2.0
V161,4,8,4,4,1,4.2
V162,5,1,6,3,10,5.0
V163,3,3,0,6,2,2.8
V164,1,4,2,3,0,2.0
V165,9,8,15,8,10,10.0
V166,0,1,1,3,4,1.8
V167,0,0,2,3,1,1.2
V168,1,1,0,0,0,0.4
V169,6,7,3,7,8,6.2
V170,1,5,2,4,6,3.6
V171,3,7,5,3,8,5.2
V172,6,0,1,0,2,1.8
V173,1,4,1,0,0,1.2
V174,3,0,4,1,4,2.4
V175,2,3,1,5,4,3.0
V176,1,0,0,1,1,0.6
V177,2,1,0,0,1,0.8
V178,0,7,3,4,0,2.8
V179,0,0,0,0,0,0.0
V180,0,1,1,4,2,1.6
V181,1,0,0,1,1,0.6
V182,0,0,0,0,1,0.2
V183,0,0,0,0,0,0.0
V184,1,1,1,2,4,1.8
V185,0,2,2,0,4,1.6
V186,0,1,2,2,2,1.4
V187,2,4,5,7,5,4.6
V188,2,2,1,3,2,2.0
V189,13,13,20,18,20,16.8
V190,3,2,0,1,0,1.2
V191,0,0,0,1,0,0.2
V192,0,1,0,0,1,0.4
V193,0,0,0,1,1,0.4
V194,4,1,0,0,2,1.4
V195,1,0,0,0,1,0.4
V196,1,0,0,0,0,0.2
V197,8,4,1,0,0,2.6
V198,6,4,2,3,0,3.0
V199,5,2,2,0,0,1.8
V200,2,6,4,5,5,4.4
V201,3,6,3,9,5,5.2
V202,1,1,1,2,2,1.4
V203,14,7,3,6,1,6.2
V204,3,1,4,0,1,1.8
V205,3,4,6,8,3,4.8
V206,3,4,2,1,3,2.6
V207,5,0,6,8,1,4.0
V208,8,8,6,10,5,7.4
V209,1,2,5,5,6,3.8
V210,0,1,2,2,4,1.8
V211,3,2,5,3,1,2.8
V212,1,1,0,0,1,0.6
V213,0,1,0,1,0,0.4
V214,4,3,2,0,0,1.8
V215,6,7,4,1,2,4.0
V216,1,4,3,3,1,2.4
V217,3,1,2,5,4,3.0
V218,6,2,2,3,1,2.8
V219,4,0,5,5,7,4.2
V220,3,3,4,7,4,4.2
V221,6,10,2,3,4,5.0
V222,1,5,1,2,2,2.2
V223,2,8,2,6,2,4.0
V224,2,12,3,2,3,4.4
V225,6,1,5,3,2,3.4
V226,1,0,0,0,0,0.2
V227,3,2,4,0,1,2.0
V228,0,0,2,1,2,1.0
V229,2,1,5,2,2,2.4
V230,1,4,0,0,3,1.6
V231,0,1,1,0,2,0.8
V232,2,1,3,1,0,1.4
V233,1,0,2,1,3,1.4
V234,2,8,4,1,0,3.0
V235,4,0,0,1,0,1.0
V236,0,2,1,3,0,1.2
V237,0,1,2,0,0,0.6
V238,1,0,3,1,3,1.6
V239,1,1,1,1,0,0.8
V240,0,0,0,0,0,0.0
V241,0,0,0,0,0,0.0
V242,2,2,3,1,0,1.6
V243,1,2,4,1,3,2.2
V244,6,8,4,3,3,4.8
V245,4,18,4,5,5,7.2
V246,0,1,3,2,0,1.2
V247,1,1,1,1,0,0.8
V248,1,2,2,0,1,1.2
V249,0,1,0,0,0,0.2
V250,1,1,1,0,0,0.6
V251,1,5,7,8,7,5.6
V252,2,0,2,0,0,0.8
V253,2,2,1,2,1,1.6
V254,1,1,2,2,1,1.4
V255,2,3,0,0,0,1.0
V256,1,3,4,2,5,3.0
V257,1,2,5,6,3,3.4
V258,15,16,18,23,27,19.8
V259,9,3,3,2,2,3.8
V260,2,2,2,1,0,1.4
V261,4,12,9,10,12,9.4
V262,2,4,6,10,9,6.2
V263,3,4,4,1,3,3.0
V264,7,8,5,4,5,5.8
V265,7,6,5,4,2,4.8
V266,3,8,13,14,15,10.6
V267,11,2,1,7,8,5.8
V268,2,7,2,2,7,4.0
V269,0,0,0,0,1,0.2
V270,3,6,7,6,5,5.4
V271,3,6,1,4,6,4.0
V272,0,2,3,6,2,2.6
V273,2,5,2,2,6,3.4
V274,3,10,5,3,4,5.0
V275,1,2,4,2,0,1.8
V276,1,5,1,5,9,4.2
V277,0,6,9,10,11,7.2
V278,1,1,2,3,4,2.2
V279,1,1,4,6,6,3.6
V280,4,2,4,3,3,3.2
V281,21,20,25,22,24,22.4
V282,2,5,13,2,7,5.8
V283,8,15,23,21,32,19.8
V284,0,3,1,3,0,1.4
V285,8,6,2,8,11,7.0
V286,2,1,0,3,2,1.6
V287,0,3,3,1,2,1.8
V288,1,0,2,4,1,1.6
V289,7,8,5,6,11,7.4
V290,0,0,1,4,2,1.4
V291,5,9,4,4,10,6.4
V292,2,4,5,3,1,3.0
V293,1,1,3,3,1,1.8
V294,37,36,25,25,20,28.6
V295,1,1,4,3,2,2.2
V296,13,10,9,18,23,14.6
V297,2,0,0,0,0,0.4
V298,2,1,7,8,1,3.8
V299,0,0,1,0,0,0.2
V300,0,0,6,6,4,3.2
V301,3,1,10,11,0,5.0
V302,0,0,0,0,0,0.0
V303,2,0,2,3,2,1.8
V304,8,3,1,0,1,2.6
V305,0,0,0,0,0,0.0
V306,6,2,10,3,1,4.4
V307,11,7,8,15,6,9.4
V308,8,5,7,11,10,8.2
V309,5,6,11,12,7,8.2
V310,21,20,30,26,16,22.6
V311,3,1,3,1,1,1.8
V312,23,21,14,14,13,17.0
V313,45,30,37,27,43,36.4
V314,13,16,19,22,15,17.0
V315,11,17,22,25,28,20.6
V316,13,18,14,6,5,11.2
V317,24,23,23,11,21,20.4
V318,10,9,8,7,9,8.6
V319,0,1,1,2,0,0.8
V320,14,8,10,18,16,13.2
V321,11,2,1,1,0,3.0
V322,0,0,2,1,2,1.0
V323,1,7,6,9,6,5.8
V324,0,4,0,2,1,1.4
V325,0,1,0,0,0,0.2
V326,10,3,4,1,5,4.6
V327,0,1,1,0,3,1.0
V328,0,0,0,0,0,0.0
V329,4,0,0,5,3,2.4
V330,0,0,0,0,0,0.0
V331,2,0,1,1,2,1.2
V332,4,0,3,3,2,2.4
V333,1,0,1,0,0,0.4
V334,4,0,0,2,1,1.4
V335,1,3,1,1,4,2.0
V336,3,11,8,5,8,7.0
V337,0,0,0,0,1,0.2
V338,1,1,5,2,1,2.0
V339,0,0,0,1,0,0.2
id_01,1,1,1,0,1,0.8
id_02,20,8,5,0,0,6.6
id_03,1,0,0,0,0,0.2
id_04,0,0,0,0,0,0.0
id_05,9,7,1,1,0,3.6
id_06,7,2,0,1,0,2.0
id_07,0,0,0,0,0,0.0
id_08,0,0,0,0,0,0.0
id_09,1,0,0,1,1,0.6
id_10,1,0,0,0,0,0.2
id_11,1,3,0,1,2,1.4
id_13,8,4,2,1,1,3.2
id_14,2,2,1,0,0,1.0
id_15,0,0,0,0,0,0.0
id_16,0,0,0,0,0,0.0
id_17,1,2,0,0,0,0.6
id_18,0,1,0,0,0,0.2
id_19,19,3,3,8,2,7.0
id_20,10,15,5,0,2,6.4
id_21,0,0,0,0,0,0.0
id_22,0,0,0,0,0,0.0
id_23,0,0,0,0,0,0.0
id_24,0,0,0,0,0,0.0
id_25,0,0,0,0,0,0.0
id_26,0,0,0,0,0,0.0
id_27,0,0,0,0,0,0.0
id_28,0,0,0,0,0,0.0
id_29,0,0,0,0,0,0.0
id_30,3,1,0,0,1,1.0
id_31,13,3,1,1,1,3.8
id_32,2,0,0,0,0,0.4
id_33,5,0,0,0,0,1.0
id_34,0,0,0,0,0,0.0
id_35,0,0,1,0,0,0.2
id_36,1,0,0,0,0,0.2
id_37,0,0,0,0,0,0.0
id_38,2,0,0,1,1,0.8
DeviceType,1,0,0,0,0,0.2
DeviceInfo,3,1,1,0,0,1.0
